nid,title,,,projectshort,projectcity,projectstate,office,category,,projectowner,architect,,developer,developertitle,projecttestimonialtext,projectpersonname,projectpersontitle,projectpersoncompany,weight,descrip
146,Loew's Theatres at Alderwood Mall,,,Fast-track construction of this showcase 16-screen theater was completed above a 230-space parking garage.,Lynnwood,Washington,Seattle,Theater and Entertainment,,General Growth Properties,Fishbeck Thompson Carr & Huber,,,,,,,,10,"To solve site condition constraints, it was decided to place this 90,000 sf 16-screen movie theater above a 230-space 92,000 sf underground parking garage. The building was constructed with raised structural steel incorporating a decorative pattern of relief stucco. Patrons entered via a 6,000 sf raised plaza, fully landscaped with plants, lighting and stone benches. The main entrance with its 35-foot ceiling was beautifully finished with custom made light fixtures, a complex lighting cloud installation, ornamental GFRC panels, and an intricately patterned cut-in sheet vinyl floor."
147,Knight Library Additions at University of Oregon,,,Extensive renovation of the largest library on the University of Oregon campus.,Eugene,Oregon,Portland,Education and Libraries,,Oregon State Higher Education,TBG Architects & Planners,,,,,,,,9,"This technically demanding five-story, 237,000 sf renovation was made more challenging by having the facility remain open for the duration of the project.  Except for the immediate areas under construction, students and staff were allowed to use all areas of the building. Constructed in 1935, the library held many surprises. The project scope included seismic upgrades, a new elevator, complete renovation of the mechanical and electrical systems and new finishes throughout, all while maintaining the stringent temperature and humidity controls for the library's irreplaceable 40,000 volume rare book collection."
148,MERTS  Inc. / Clatsop Community College,,,Facilities to house the college's Firefighting and Maritime Sciences and Industrial Technologies programs.,Astoria,Oregon,Portland,Education and Libraries,,Clatsop Community College,"Mahlum & Nordfors, Smith, Gordon",,,,"The success of this project was largely due to the diligent efforts of S.D. Deacon and their staff to manage and perform their work in a timely, efficient and professional manner.",Al Jaques,Project Manager,Clatsop Community College,5,"Working closely with the college's project manager to fine tune construction as it progressed, we completed two buildings for CCC. The first was a state of the art facility which houses their marine environmental technology program. This 30,000 sf project includes sitework improvements, welding and fabrication shop areas, machine shops, a computer lab, resource and media room and all of the support areas for the facility. The second involved construction of the firefighting training center, centered around a three-story ""live fire"" training building designed to simulate conditions that could be found on board ship."
149,Pat Anderson Educational Center,,,This addition increased classroom capacity from 44 to 72 children.,Sacramento,California,Sacramento,Education and Libraries,,Sacramento Children's Home,Nacht & Lewis,,,,,,,,7,"The Pat Anderson Education Center (PAEC) is a 14,400 sf six-building complex with six classrooms, a library, learning lab with computers, clinical services center and a multi-purpose building. It provides an education to students who have severe emotional or mental health problems or have major learning disabilities. We worked closely with the Sacramento Children's Home, the design team, major subcontractors and suppliers to redesign and value engineer a plan that would increase their capacity by over 50% and still allow the original $3.6 million budgeted design to be built for $2.2 million. In addition, we joined some very generous subcontractors and gifted the interior completion of two classrooms and the clinical services offices to the Home."
150,Alzheimer's Aid Society,,,"Employees, friends and families joined the Alzheimer's Aid Society in their first fundraising walk.",Sacramento,California,Sacramento,Charitable,,,,,,,,,,,10,"As part of their ""Get Fit to Give Back"" program, our Sacramento offices took part in the first annual Alzheimer's Aid Society Walk in July of 2008. Each month the group participates in a fundraising walk for a different charity, and this time they helped raise funds and awareness for the Alzheimer's Aid Society of Northern California - one of the few organizations in the state that keeps 100% of their fundraising in the local area to support families impacted by Alzheimer's Disease. Even though the company picnic was scheduled for the same day, our Get Fit team was up to the challenge."
151,Jake's Grill at Governor Hotel,,,The expansion and remodel of Jake's Grill located inside Portland's landmark Governor Hotel.,Portland,Oregon,Portland,Food Service,,McCormick & Schmick Mgmt. Group,"Boora Architects, Inc.",,,,,,,,9,"The enlargement and remodel of Jake's Grill restaurant and catering service, located inside the historic Governor Hotel in downtown Portland, was a multi-stage process.  Before we could begin work on the restaurant itself, the hotel's reception area, including the registration desk, had to be relocated and completely rebuilt within the lobby to make room for Jake's expansion.  Additionally, we had to be particularly diligent in our safety precautions and project staging as both the restaurant and the hotel remained open for service throughout the duration of the project."
152,Romano's Macaroni Grill,,,The first of several signature restaurant projects for this client.,Multiple Locations,,Portland,Food Service,,"Waterloo Restaurant Ventures, Inc.",MulvannyG2 Architecture,,,,I'd like to compliment S.D. Deacon on the tremendous job your team has done for us. We truly appreciate your company's approach to client management and are continually satisfied by your excellent service.,Barry McGowan,President & CEO,"Waterloo Restaurant Ventures, Inc.",4,"Our initial project for this client involved transitioning the ground floor of a multi-story parking structure in downtown Portland into a beautiful restaurant. Building within the parking structure made several aspects of the project challenging - particularly the kitchen venting requirements. By working closely with the architect, we were able to creatively redesign the venting. The owners were so pleased with the first project, we negotiated two more Macaroni Grill restaurants, including the building shell and interior build-out."
153,The Corvallis Clinic at North Albany Village,,,Latest in a series of buildings completed by us at the North Albany Village shopping center.,Albany,Oregon,Portland,Medical and Healthcare,,The Corvallis Clinic,Novak Architecture,,,,,,,,8,"Our most recent project at North Albany Village shopping center, this new 7,200 sf medical clinic, included constructing both the shell of the building for the developer, Deacon Development Group, and the tenant build-out for The Corvallis Clinic. With two clients to delight, we were constantly seeking balance between the requirements of the developer and the tenant. In the end, the project was completed with a net of zero change orders for the developer and the tenant opened for business a month ahead of schedule."
154,Saint Andrew Lutheran Church,,,Post-fire remodel and addition to the Vancouver Lutheran church.,Vancouver,Washington,Portland,Religious Facilities,,Saint Andrew Lutheran Church,Kohler Associates Architects,,,,"How does a building committee choose a company from six well qualified hopefuls? For St. Andrew, the choice boiled down to values. Care and compassion echoed through S.D. Deacon's presentation and their value of people tipped the scales in their favor.",David Hedman,Reverend,Saint Andrew Lutheran Church,8,"We worked closely with this church's congregation to remodel what was left of the building after it was partially destroyed by fire and add another 30,000 sf to the facility. To accommodate their budget concerns, several aspects of the project were handled by members of the congregation, including painting and siding installation. Through creative risk management, we coordinated training for their volunteer crews - even arranging for our flooring sub to mentor a few congregants in hardwood flooring installation. In the end, the facility turned out great and at a price the church could afford."
155,The Verandas at Hazel Grove and The Colonnade,,,Comprehensive repair and remediation work at two water-damaged apartment complexes.,Hillsboro,Oregon,Portland,Repair and Restoration,,,Olympic Associates Company,,M/O Construction Services,Owner's Rep.,,,,,10,"Remediation of these two occupied apartment complexes involved the replacement of siding on 46 buildings and more than 750 apartment units. All windows, damaged sheathing and framing were replaced. Additionally, the decks were either repaired or replaced and water proof coatings applied. Because of the extensive levels of work conducted, we carefully planned the project staging to minimize the inconvenience to the tenants and ensure their safety."
156,Aspect Electronics,,,A highly specialized medical imaging manufacturing facility.,Auburn,California,Sacramento,High-Tech and Industrial,,Aspect Electronics,Jordan Knighton,,,,,,,,8,"S.D. Deacon built this 19,000 sf wood-frame highly specialized manufacturing facility for Aspect Electronics, which specialized in connectivity devices, medical imaging displays and medical image-processing hardware."
157,Hilton Garden Inn,,,Completion of a 131-room hotel with full amenities and the groundwork for future construction as well.,Multiple Locations,,Sacramento,Hospitality,,Larkspur Hospitality,Musil Group Architects (MGA),,Jensen & Associates Architects,Architect,,,,,8,"Construction of this three-story, wood framed hotel consisted of 131 rooms, restaurant, bar, lounge, lobby, swimming pool with spa and a complete sitework package for two hotels and a future restaurant pad."
158,Marriott Courtyard Hotel,,,"A 75,000 sf, post-tension, subterranean parking garage.",Los Altos,California,Sacramento,Parking,,"Four Seasons Associates, LLC",Law Kingdon,,,,,,,,7,"The construction of the 100,000 sf Courtyard Marriott took place on top of a 75,000 sf, post-tension, subterranean parking garage."
159,United Artists Theater,,,A 12-screen multiplex completed in record time.,Elk Grove,California,Sacramento,Theater and Entertainment,,United Artists Theater Circuit,The Allred Architectural Group,,,,,,,,10,"This 12-screen theater was constructed of masonry block and EIFS with a steel deck, and featured a built up roof and ceramic tile flooring. Despite being constructed during record-breaking winter rains, the theater was still completed on time and able to be opened as scheduled in time for a holiday weekend grand opening."
160,Panera Bread at The Commons,,,"4,500 sf bakery and cafe built adjacent to a major area shopping mall under renovation.",Federal Way,Washington,Seattle,Food Service,,Panera Bread Company,"Freiheit & Ho Architects, Inc.",,,,,,,,2,"This 4,500 sf bakery and cafe was created by meshing Panera's and S.D. Deacon's teams into a single unit. Built on a fast track schedule as an island adjunct to a shopping mall under major renovation, our team maneuvered subs, inspectors, deliveries, concrete pours and the delivery and installation of the owner's specialized equipment with a constant focus on safety and schedule. Prior to building out the bakery, we prepared the pad under a separate contact."
161,Albertsons,,,"For 27 years, our business partnership with Albertsons has resulted in nearly 1.5M sf of construction.",Multiple Locations,,Multiple Locations,Grocery,,Albertsons Inc.,Musil Perkowitz Ruth,,,,The spirit of cooperation and perseverance in meeting the owner's objectives that was maintained throughout the course of the project is greatly appreciated.,Timothy Sheil,Construction Manager,Albertsons,4,"In 1981, S.D. Deacon was awarded our first retail construction project - an Albertsons grocery store in Portland, Oregon. Since then, we have completed the ground up construction of more than 30 stores in various locations in Washington, Oregon and California, totaling over 1.4M sf of construction, valued at more than $60M. Although the specific construction interior and exterior finish details vary slightly from store to store, our work scope has consistently included all mechanical and electrical work, HVAC and plumbing."
162,Redmond Town Square,,,A below grade parking garage beneath professional offices in downtown Redmond.,Redmond,Washington,Seattle,Parking,,Goodland Property Development,Johnson Reid Associates,,,,,,,,2,"This below-grade parking garage provides an additional 86 parking spaces for one of the busiest office and retail districts in the city of Redmond. Located beneath a mixed-use professional office building near the center of Redmond Town Center, the garage contains automatic gated security doors and an elevator vestibule to service the tenants in the three floors of businesses above. Construction of this garage consisted of a cast-in-place concrete structure with a post-tensioned concrete deck and had to be coordinated with multiple simultaneous projects surrounding the site."
163,First Lutheran Church of Richmond Beach,,,"Addition of a 9,200 sf education wing and upgrades to the churches fire sprinkler, alarm and heating systems.",Shoreline,Washington,Seattle,Religious Facilities,,First Lutheran of Richmond Beach,BPH Architects,,,,,,,,5,"Addition of this 9,200 sf two-story education wing included classrooms, a library, mechanical room, restrooms and an elevator. Additionally, we upgraded the existing office space with a new narthex and reconfigured the church's main entrance and reception area with Tudor-style arches, considerably improving the appearance of the existing stonework and siding.  
Finally, we retrofit new fire sprinkler and alarms systems throughout the building, installed a new heating system and new primary services for both power and gas. We were able to provide the church substantial savings by mobilizing their volunteers to help with exterior siding, painting and project cleanup."
164,Newport Presbyterian Church,,,Remodel and addition to this church provide a facelift and more space to accommodate the growing congregation.,Bellevue,Washington,Seattle,Religious Facilities,,Newport Presbyterian Church,Broweleit Peterson Hammer,,,,,,,,9,"The remodel of this busy community church was completed in multiple phases. The first phase was the demolition and reconstruction of interior components of the Sanctuary including a new fire sprinkler system, electrical and HVAC modifications, replacement of the exterior windows, new flooring and millwork and a new interior entrance area. The second phase was a remodel of the office area and a 1,300 sf infill to transform one of the two courtyards bracketing the Sanctuary into an expansion of the facility's narthex with all finishes to match the new Sanctuary."
165,Regal Theaters,,,Two remarkable theaters to complement thriving community shopping centers.,Multiple Locations,,Seattle,Theater and Entertainment,,"Regal Cinemas, Inc.",TK Architects,,,,,,,,10,"Regal Theaters are always exciting and these two projects are no exception. The first, tucked into a niche and surrounded on three sides, features 16 screens, stadium seating and radiused rotunda entrance supported by cultured stone columns and capped by a grand cornice.  Constructed through the holiday shopping season at the busy Everett Mall, access and materials storage challenges were overcome through strong communication with mall management. At Seattle's Northgate Mall, the six-story 14-plex sits atop a cast-in-place parking garage and incorporates colorful metal panels over a steel-framed shell."
166,Hampton Inn and Suites and Holiday Inn Express,,,"A matched pair of hotels totaling nearly 120,000 sf.",Sacramento,California,Sacramento,Hospitality,,Geweke Family Partnership,RYS Architects,,,,,,,,9,"This project involved the construction of a pair of 100-room three story hotels. The Hampton Inn measured 58,600 sf and the slightly larger Holiday Inn Express, 59,414 sf. Both hotels were wood framed construction with exterior plaster systems and metal roofing -  each included meeting rooms and exercise facilities, swimming pools and spas. Guest room accents included granite countertops. Rounding out the completed project was a full sitework package: utilities, paving, parking and landscaping."
167,Comfort Suites,,,This 144-space parking garage sits below a busy hotel on the outskirts of Queen Anne.,Seattle,Washington,Seattle,Parking,,"EPC Holdings IX, LLC",Johnson Reid Associates,,,,,,,,8,"Situated at the crossroads of the Seattle Center, I-5 and the fashionable lower Queen Anne nightlife area, this two level 44,000 sf garage supports a busy 158-unit hotel with 144 parking spaces. Constructed utilizing cast-in-place concrete and post-tension decks, the garage is connected to the hotel through the lobby level with two elevators and a seismically reinforced stair well. Outside entry is through a security gate with direct visual access from the hotel's office area."
168,Multnomah Presbyterian Church,,,"A 19,000 sf remodel and expansion of a busy community church.",Portland,Oregon,Portland,Religious Facilities,,MPC Associates,Myhre Group Architects,,,,It was evident by S.D. Deacon's approach that they had a sensitivity that this was not a typical commercial project...it was a project with many people emotionally attached as if it were their own home.,"Douglas G. Gannett, PE",Senior Project Manager,TM Rippey Consulting Engineers,7,"This 19,000 sf addition and remodel of a neighborhood church was framed with a combination of steel columns, wide flange and glulam beams and traditional wood framing. The exterior entrance featured a glulam beam canopy with stone columns -  new fiber cement siding and vinyl windows were installed throughout, and it was all capped by a shingle roof TPO with new external gutters. Inside, we extended the existing sanctuary, matching the existing finishes, added a full kitchen and replaced the flooring and fire sprinkler system."
169,Comfort Suites,,,Total stucco failure of this three-story hotel required extensive water-damage remediation.,Elk Grove,California,Sacramento,Repair and Restoration,,"Surama Hospitality, LLC",Macaulay Architects,,,,,,,,10,"Built in 2003, this 39,588 sf hotel was leaking at most of the roof-to-wall connections and around the windows, PTAC units and roof vents when our Repair & Restoration Division was called in to repair the failed stucco cladding. Damage was so extensive that we had to remove all the exterior stucco at the large pop-out wall elements and replace the severely damaged shear panels and wood framing. Working in eight stages to minimize interference with hotel operations, we also replaced all windows using new mastic flashing and counter flashing and the failed vents, PTAC openings, wall joints and cap flashings were removed and reinstalled correctly."
171,Santa Rosa Town Center,,,"Creative repairs at this 169,779 sf open-air retail allowed the businesses to operate with no interruption.",Santa Rosa,California,Sacramento,Repair and Restoration,,"Santa Rosa Town Center, LLC",Architectural Analysis Design,,Allen Gee Architects,Architect,,,,,10,"The concrete walls of this three building retail center were cracked and leaking water and allowing water to leak between the failed roof-to-wall joints and around improperly installed tower windows as well. Litigation consultants recommended an epoxy injection, but we worked with specialized consultants and found that a polyurethane joint and paraseal method would work for half the cost of epoxy injection - and the repair could be completed from outside the building to avoid interfering with store operations. We sealed the cracks and joints, replaced the windows properly and re-textured and painted the buildings to match existing surfaces."
172,Cinemark Theatre at Medford Center Mall,,,Four retail outbuildings and a 15-screen theater complex built while the mall remained open for business.,Medford,Oregon,Portland,Theater and Entertainment,,"Cinemark USA, Inc.",MCG Architects,,,,,,,,10,"We were pleased to be chosen to build one of the first theaters in the Pacific Northwest to feature stadium style seating. The 15-screen Cinemark Tinseltown at Medford Center was constructed as an addition to an already busy - and operational - shopping center. In addition to the theater, we also built four other retail buildings as well as completely renovating the existing parking lot. The finishing touch was the water feature we designed and built that has become the centerpiece of the Center's common area."
173,Bradley-Angle House,,,We partnered with Bradley-Angle House to conduct a major remodel project to their emergency shelter.,Portland,Oregon,Portland,Charitable,,,,,,,"We deeply appreciate all of your support over the years, especially through the remodel project. Thank you for your generosity and commitment to local communities.",Mary Dzieweczynski,Executive Director,Bradley-Angle House,9,"Since 1975, Bradley-Angle House has provided emergency shelter and options for healing to women and children escaping domestic violence. In addition to the emergency shelter, BAH also has a 24-hour crisis line, apartments for women in transition, support groups, children's programs, and community outreach programs. When they needed to begin an extensive remodel project of their shelter, we were pleased to bring our construction expertise and contacts to the project. With contributions of labor and materials from many subcontractors, we helped create a shelter space that was functional and safe - at reasonable cost."
174,Citrus Heights Little League Snack Bars,,,"Our employees, with subcontractor support, quickly upgraded two snack bars in time for Opening Day.",Citrus Heights,California,Sacramento,Charitable,,,,,,,"Actually 'DOING THE WORK' sure felt great. To know that we were making even a small difference in the community for a few hundred ball players and their families was a gift. I was happy to be part of ""Giving Back"" to a great organization.",Cindy Stauss,Project Engineer,S.D. Deacon,9,"Code violations were preventing the two snack bars at McDonald and Madera Parks from being ready in time for the start of the Citrus Heights Little League baseball season. They couldn't open until they passed Health Department inspections, so with just a month to go we responded to their request for help. Employee volunteers worked nights and weekends with support from many of our subcontractors to transform the snack bars in time for Citrus Heights Little League Opening Day. What a great way to kick off their 50th anniversary!"
175,The Dougy Center,,,S.D. Deacon was proud to replace a staircase and fire escape that was no longer safe to use.,Portland,Oregon,Portland,Charitable,,,,,,,"Working on a project like this meant a lot to me since we were doing something for a great cause.  Halfway into the project I had a major surgery, and the whole group at the center gave me prayers and support and I will always remember them for that.",Larry Mahaffey,Superintendent,S.D. Deacon,9,"The Dougy Center was the first center in the US to provide peer support groups for grieving children and their families -  they also provide training worldwide so others can replicate their peer-support model. During a visit to the Dougy Center, we learned of their need to replace the outside wooden staircase and fire escape. It took several months to finalize the design and obtain plan review approvals and permits, but the end result was a great, functional staircase.  The assistance of Wiss Janney Elstner Architectural Consulting and REA Structural Engineers were crucial."
176,Food Finders,,,S.D. Deacon found a creative way to combine community activism with a construction project.,Orange County,California,Irvine,Charitable,,,,,,,"Feeding people, giving hope. Food Finders and all those who are fed and given hope by our program are very grateful to S.D. Deacon for your help. We deeply appreciate your sympathy and participation and look forward to your continued support.",Arlene Mercer,Founder / Executive Director,Food Finders,9,"Food Finders coordinates the delivery of food donations from grocery stores, restaurants, hotels and caterers to charitable distributors such as food banks and homeless shelters, providing enough food to supply 50,000 meals a day to 230 social agencies throughout Los Angeles and Orange County. In addition to making a cash donation, the Irvine office found a unique way to raise money for them. When we began a remodel project for Tommy Bahama's restaurant, the owner gave us the unwanted furnishings. A benefit employee auction of the items raised over $1,400 and the unsold auction items were donated to Finders Keepers, a resale store that benefits Food Finders."
177,Get Fit to Give Back Fundraising Walk Efforts,,,"Participating in 18 walks in '07 & '08, we put miles on our walking shoes to raise money for great causes.",Sacramento,California,Sacramento,Charitable,,,,,,,I'm a regular at the walks because I feel privileged to actively participate in helping our community and literally take steps to support the individuals and families that have faced such great challenges with strength and spirit.,Shearin Lee,Project Assistant,S.D. Deacon,8,"We walked in the ""Thanksgiving Run to Feed the Hungry"" for the Sacramento Food Bank, the Amyotrophic Lateral Sclerosis ""D'feet ALS"" walk and sponsored the ""Juvenile Diabetes Research Foundation Walk"" both years. Other events included the SPCA ""Doggy Dash,"" March of Dimes' ""Marching for Babies"" walk, ""Making Strides for Breast Cancer,"" ""Sacramento Valley AIDS Walk"" and the ""Never Forget Our Fallen Walk"" to honor our soldiers. One dedicated employee completed a triathlon for the Leukemia & Lymphoma Society and another walked 39 miles in the ""Avon Walk for Breast Cancer."" Altogether, we helped raise thousands of dollars through personal donations, company donations and employee matching gifts."
178,Habitat for Humanity - Portland,,,S.D. Deacon employees spent two days working on the finishing touches for two Habitat for Humanity houses.,Portland,Oregon,Portland,Charitable,,,,,,,,,,,9,"Habitat for Humanity is committed to making sure that all people have a simple, decent and affordable place to live. Recipients of Habitat homes are required to provide ""sweat-equity"" - working alongside other community volunteers to build their home. S.D. Deacon employees were excited to volunteer at two Habitat for Humanity houses in the fall of 2007. For two days, our crews rolled up their sleeves to hang doors, plant bushes, spread bark dust and other finishing touches on two new Habitat homes."
179,Oregon Food Bank,,,"Employees, friends and family spent a spring afternoon packing food for families at the Oregon Food Bank.",Portland,Oregon,Portland,Charitable,,,,,,,"Giving a monetary donation to  the Oregon Food Bank feels good... being involved in the ""hands on"" packaging of the food feels great... the hair nets are an added bonus...",Jeff Scott,General Superintendent,S.D. Deacon,7,"The Oregon Food Bank's mission is to help eliminate hunger and its root causes. As the hub for a network of over 900 hunger relief agencies throughout Oregon and Clark County, WA, the OFB network provided almost 56 million pounds of food to hungry people last year. In March 2008, S.D. Deacon employees turned in their hardhats for hairnets to volunteer at the Oregon Food Bank. Joined by family and friends, 30 people spent three hours at the OFB warehouse transferring 10,171 lbs. of potatoes and pasta from large bins into family-friendly size bags."
180,Trillium Family Services - Parry Center,,,"S.D. Deacon built an outdoor, fenced basketball court at a  residential treatment center for children.",Portland,Oregon,Portland,Charitable,,,,,,,,,,,6,"Trillium Family Services' Parry Center in Portland is a residential treatment center for children and adolescents dealing with mental health and behavioral issues. Because their outdoor basketball court wasn't enclosed and the children must always be in a secure setting, they were not able to play basketball outside. S.D. Deacon added a second basketball hoop, enlarged the existing basketball court and fenced the perimeter in order to provide necessary security. The project was completed with support from our subcontractors, employees and former Trailblazer Jerome Kersey, who attended the dedication ceremony."
181,Roadside Cleanup,,,Twice a year our employees spend a few hours picking up trash along Highway 43 to help keep Oregon green.,Portland,Oregon,Portland,Charitable,,,,,,,,,,,5,"Since 2001, eight to 12 volunteers from S.D. Deacon have spent three hours twice a year walking along the narrow shoulder of Highway 43 cleaning up debris as part of the Oregon Adopt-a-Highway program. Each cleanup day yields from 20-40 bright yellow bags filled with trash - everything from cigarette butts, drink bottles, and fast food packaging to dead animals, piles of dirty magazines, and wallets. When the job is done, people can look back along the road to see all the yellow bags lining the road, instead of unsightly trash - a simple effort to help keep Oregon green."
182,Yoshida's Sand in the City,,,Yoshida's Sand in the City event raises funds for the Kids on the Block programs.,Portland,Oregon,Portland,Charitable,,,,,,,"This was a great opportunity to work with others in our industry, while doing something fun and rewarding.",Aimee Palomino,Marketing Director,S.D. Deacon,4,"In July of 2008, our employees joined with MulvannyG2 Architecture to participate in the ""Sand in the City"" event at Pioneer Courthouse Square in downtown Portland. During the event, our team competed in a sand sculpting competition to benefit ""Kids on the Block,"" a charitable organization that uses puppetry to teach children about important issues such as preventing child abuse and school violence, making healthy choices about eating and physical activity, and appreciating cultural diversity and people with different abilities. In just six hours, sand teams and architects transformed over 450 tons of sand and 4,500 gallons of water into magnificent sand sculptures!"
183,Share Our Selves,,,S.D. Deacon employees have provided assistance to SOS in a variety of ways.,Costa Mesa,California,Irvine,Charitable,,,,,,,Walking into SOS this morning and seeing the results of your very creative and generous undertaking was amazing. I cannot thank you enough for including SOS in your outreach to the community. It is a joy counting S.D. Deacon as a friend to SOS.,Karen Harrington,Director of Development,Share Our Selves,3,"Share Our Selves provides emergency services such as food, clothing, medical and dental services, legal aid and counseling to families in crisis. Our employees have adopted a family for the holidays -  collected over 500 food items for Thanksgiving and attended their annual Wild and Crazy Taco Night fundraiser and contributed $10,000 toward their programs. But they didn't stop there: 22 S.D. Deacon employees provided in-kind services on several occasions with various repairs, upgrades and the expansion of their food bank and free clinic facilities."
184,Share Our Selves and Operation Homefront,,,A surprise scavenger hunt through the streets of San Diego yielded treasure for two great community charities.,San Diego,California,Multiple Locations,Charitable,,,,,,,I was overwhelmed and excited to see all of the items your staff collected for our families. Thank you for making a difference in the lives of the military families we serve.,Tricia De La Paz,Director of Operations,Operation Homefront,2,"At our 2008 Planning Meeting in San Diego, 72 employees representing all our offices were surprised to learn that the kick-off of the meeting would be a team charity challenge. Half the teams were assigned to assist Operation Homefront, which offers support to US military troops and their families. The other half were working to benefit Share Our Selves, which has provided free medical, dental care and general emergency services, to residents of Orange County for nearly 40 years. Armed with a map and some seed money, the teams set out on a scavenger hunt to collect as many items as possible from the charities' wish lists. The result was a room full of wonderful items to help both groups serve those in need."
185,WISEPlace,,,S.D. Deacon provided in-kind construction repairs to the WISEPlace facility.,Santa Ana,California,Irvine,Charitable,,,,,,,,,,,1,"Founded in 1999, WISEPlace - Women Inspired, Supported Empowered - was formerly part of the South Orange County YWCA. It serves the destitute and homeless women in Orange County by providing programs and services to help them become independent so they can contribute to the community in a positive, productive way. A site visit to the WISEPlace facility made it clear that the best way we could support this organization was to help with much needed building repairs. First, we arranged the repair of a plumbing problem that was causing flooding, then moved on to repairs for the deteriorating roof."
186,National Multiple Sclerosis Society,,,"Each April, S.D. Deacon is a major presence at the annual Walk MS event held at the UW Campus.",Seattle,Washington,Seattle,Charitable,,,,,,,,,,,10,"After one of our long-time employees was diagnosed with MS in 2004, Washington's SDDWAlkers team has raised more than $50,000 for the National Multiple Sclerosis Society. MS is a chronic, often disabling disease that attacks the central nervous system -  symptoms can include numbness in the limbs, paralysis and loss of vision. The NMSS is pledged to finding a cure. We are proud of our past contributions and participation in the Walk MS and Bike MS programs and look forward to continuing to support the National Multiple Sclerosis Society for as long as it needs to exist."
187,Garries Family Home Remodel,,,It has been the Washington office's great pleasure to make a huge difference in the life of a local family.,Seattle,Washington,Seattle,Charitable,,,,,,,The blessings that have been showered down on our family are incredible. We never knew such a thing could be possible. Thank you so very much.,Pam Garries,Mom,Garries Family,10,"S.D. Deacon joined forces with Rebuilding Together to complete a significant remodel of a local family's home. Nine-year-old Matt was diagnosed with Mitochondrial Disease, leaving him wheelchair bound and prone to extreme seizures. With the help of employees, subcontractors and the community, we opened the living space floor plan and added a main-floor master suite, complete with an ADA bathroom and connected medical bedroom for Matt. Passageways were widened to accommodate his wheelchair and access ramps were built to the front and back doors."
188,Pasado's Safe Haven,,,S.D. Deacon is proud to support Pasado's Safe Haven for abused and abandoned animals.,Seattle,Washington,Seattle,Charitable,,,,,,,,,,,10,"Pasado's Safe Haven was formed in 1992 to lobby for animal-cruelty prevention legislation -  they also operate a facility north of Seattle where rescued animals live in peace for the remainder of their lives. Recently, we were delighted to participate in Pasado's Home for the HOWLidays program - an annual drive to collect pet related items including food, beds, toys, flea treatments and Costco gift cards to purchase igloo homes in support of an organized Christmas Day delivery to pet owners in low income and rural neighborhoods."
189,New Phoebe House,,,We are pleased to have provided help to women overcoming meth addictions and turning their lives around.,Seattle,Washington,Seattle,Charitable,,,,,,,,,,,10,"The New Phoebe House is a Tacoma-area home for women recovering from methamphetamine addiction. In December of 2007, our office adopted the residents of the House and their children for the holidays. During the course of a single week in December, employees purchased, wrapped and delivered nearly 200 gifts for the residents and their families, ensuring their Christmas was as full as possible. The following February, a volunteer team met to paint the building's common areas and gave the House a fantastic facelift. Special thanks to Sherwin Williams for donating the paint and tools and to Stively Commercial Coatings for calling in their troops, too."
190,La Vista Apartments,,,An S.D. Deacon joint effort resulted in the rehabilitation and complete makeover of this 10-building complex.,Concord,California,Sacramento,Repair and Restoration,,AIMCO Capital,BDE Architecture,,,,,,,,10,"Two of our divisions joined forces to reconstruct this 10-building apartment complex comprised of 75 living units, a sales office and community building. The site itself was re-graded and needed drainage repairs as well as resurfacing or replacement of retaining walls, asphalt and concrete walkways and patios. The stucco-clad buildings received a facelift with replacement of the exterior glazing, duel-glazed energy efficient windows and a new coat of paint. Eight of the buildings were re-roofed and the deteriorated wooden stairways were replaced with steel.  Many of the apartments received a full interior makeover including a new kitchen and bath upgrades."
191,Von Housen Mercedes Benz Dealership,,,Two-story auto showroom and service facility on four-acre site.,Rocklin,California,Sacramento,Auto Dealerships,,The Von Housen Automotive Group,MARCA*TECTS,,,,"I have worked with your firm on six other projects in the past, experience on this Mercedes project was the best ever. A budget was established by your firm from unfinished plans. The accuracy and completeness created the road map for the entire project.",Joseph Marca,President/CEO,Marcatects,9,"This 58,000 sf dealership includes a two-story showroom, offices and a state of the art 38-stall service facility. Built on a four-acre site, this unique facility provides inventory storage and service parking on a structure above the showroom and service area. The two-story exterior is a combination of floor to ceiling glass, aluminum curtain walls and composite panels, and stone tile veneer."
192,Orleans Hotel,,,A mixed-use project that pays homage to Sacramento's historic legacy.,Sacramento,California,Sacramento,Hospitality,,"Old Sacramento Properties, LLC","Monighan & Associates, Inc.",,,,,,,,9,"This innovative transformation of an historic lot in Old Sacramento included construction of a 45,000 sf mixed-use building featuring 24 individual apartment units located on three metal-deck floors above 7,000 sf of retail and restaurant space and a 2,000 sf outdoor patio and dining deck - all built above a below-ground parking area. Located on the site of the original Orleans Hotel built in 1853, the building was designed to replicate the facade of the original Goldrush-Era hotel, including such period elements as cast-iron columns and balconies."
